Season,Date,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,HomeTeamxG,AwayTeamxG
2022,2023-02-10,Schalke 04,Wolfsburg,0,0,0.999355,1.39713
2022,2023-02-11,Bayern Munich,Bochum,3,0,4.37602,0.242356
2022,2023-02-17,Augsburg,Hoffenheim,1,0,1.48158,0.446218
2022,2023-02-18,Bochum,Freiburg,0,2,1.40839,2.39926
2022,2023-02-19,Union Berlin,Schalke 04,0,0,0.827192,0.385916
2022,2023-02-25,Werder Bremen,Bochum,3,0,1.17524,0.396228
2022,2023-02-26,Bayern Munich,Union Berlin,3,0,3.86403,0.212984
2022,2023-03-04,Augsburg,Werder Bremen,2,1,0.493189,1.68845
2022,2023-03-04,Bochum,Schalke 04,0,2,0.926001,0.873349
2022,2023-03-11,Bayern Munich,Augsburg,5,3,2.49393,2.48124
2022,2023-03-12,Freiburg,Hoffenheim,2,1,0.452025,1.16149
2022,2023-03-12,Wolfsburg,Union Berlin,1,1,1.33065,1.22513
2022,2023-03-18,Augsburg,Schalke 04,1,1,0.395653,1.68365
2022,2023-04-01,Wolfsburg,Augsburg,2,2,3.93815,0.918055
2022,2023-04-02,Werder Bremen,Hoffenheim,1,2,0.67338,1.63673
2022,2023-04-08,Freiburg,Bayern Munich,0,1,1.0909,3.09211
2022,2023-04-09,Hoffenheim,Schalke 04,2,0,2.17705,0.561062
2022,2023-04-15,Bayern Munich,Hoffenheim,1,1,1.88997,0.27365
2022,2023-04-16,Union Berlin,Bochum,1,1,1.05608,1.51987
2022,2023-04-16,Werder Bremen,Freiburg,1,2,1.43107,0.473775
2022,2023-04-22,Bochum,Wolfsburg,1,5,2.7745,3.34214
2022,2023-04-23,Freiburg,Schalke 04,4,0,2.63573,0.388444
2022,2023-04-29,Schalke 04,Werder Bremen,2,1,1.24953,1.48812
2022,2023-05-06,Augsburg,Union Berlin,1,0,1.00945,0.485635
2022,2023-05-06,Werder Bremen,Bayern Munich,1,2,0.805974,2.02292
2022,2023-05-13,Wolfsburg,Hoffenheim,2,1,0.971216,0.758147
2022,2023-05-13,Union Berlin,Freiburg,4,2,1.44733,2.08886
2022,2023-05-13,Bayern Munich,Schalke 04,6,0,5.05599,0.33961
2022,2023-05-13,Bochum,Augsburg,3,2,1.32347,1.32904
2022,2023-05-19,Freiburg,Wolfsburg,2,0,1.44647,0.658973
2022,2023-05-20,Hoffenheim,Union Berlin,4,2,2.49016,1.67535
2022,2023-05-27,Union Berlin,Werder Bremen,1,0,0.783196,0.399601
2023,2023-08-18,Werder Bremen,Bayern Munich,0,4,0.63974,2.89704
2023,2023-08-19,Hoffenheim,Freiburg,1,2,1.67186,3.24821
2023,2023-08-26,Darmstadt,Union Berlin,1,4,2.59994,1.6379
2023,2023-08-26,Freiburg,Werder Bremen,1,0,1.71877,0.696983
2023,2023-08-27,Bayern Munich,Augsburg,3,1,2.82296,0.726241
2023,2023-09-02,Augsburg,Bochum,2,2,1.88106,1.86494
2023,2023-09-02,Hoffenheim,Wolfsburg,3,1,1.78689,1.4154
2023,2023-09-16,Wolfsburg,Union Berlin,2,1,0.566932,1.56941
2023,2023-09-23,Bayern Munich,Bochum,7,0,6.02607,0.0892044
2023,2023-09-23,Union Berlin,Hoffenheim,0,2,1.62442,2.15364
2023,2023-10-01,Darmstadt,Werder Bremen,4,2,2.34923,1.54627
2023,2023-10-01,Freiburg,Augsburg,2,0,1.2721,1.00081
2023,2023-10-07,Augsburg,Darmstadt,1,2,1.18473,1.96153
2023,2023-10-07,Werder Bremen,Hoffenheim,2,3,1.03064,1.52805
2023,2023-10-08,Bayern Munich,Freiburg,3,0,2.37438,0.0704987
2023,2023-10-21,Freiburg,Bochum,2,1,2.5274,1.37705
2023,2023-10-28,Augsburg,Wolfsburg,3,2,1.59374,1.25516
2023,2023-10-28,Bayern Munich,Darmstadt,8,0,5.884,0.924873
2023,2023-10-28,Werder Bremen,Union Berlin,2,0,0.690799,0.368624
2023,2023-11-03,Darmstadt,Bochum,1,2,0.854923,1.56273
2023,2023-11-05,Wolfsburg,Werder Bremen,2,2,1.81371,1.40324
2023,2023-11-11,Augsburg,Hoffenheim,1,1,0.937133,0.897413
2023,2023-11-25,Union Berlin,Augsburg,1,1,2.40798,1.84043
2023,2023-11-25,Freiburg,Darmstadt,1,1,1.34505,0.34181
2023,2023-12-02,Bochum,Wolfsburg,3,1,2.07603,1.03452
2023,2023-12-08,Hoffenheim,Bochum,3,1,2.27533,1.82523
2023,2023-12-09,Werder Bremen,Augsburg,2,0,1.84577,0.627715
2023,2023-12-09,Wolfsburg,Freiburg,0,1,1.32934,0.511263
2023,2023-12-16,Bochum,Union Berlin,3,0,3.57797,0.670719
2023,2023-12-16,Darmstadt,Wolfsburg,0,1,0.942093,0.587028
2023,2023-12-19,Hoffenheim,Darmstadt,3,3,2.81806,0.952662
2023,2023-12-20,Wolfsburg,Bayern Munich,1,2,0.313193,3.15053
2023,2024-01-12,Bayern Munich,Hoffenheim,3,0,3.4164,1.61888
2023,2024-01-13,Freiburg,Union Berlin,0,0,2.1675,0.424997
2023,2024-01-14,Bochum,Werder Bremen,1,1,1.24017,0.934194
2023,2024-01-20,Freiburg,Hoffenheim,3,2,2.47971,1.76349
2023,2024-01-21,Bayern Munich,Werder Bremen,0,1,1.54562,0.429252
2023,2024-01-24,Bayern Munich,Union Berlin,1,0,2.172,0.477644
2023,2024-01-27,Werder Bremen,Freiburg,3,1,2.33032,1.33739
2023,2024-01-27,Augsburg,Bayern Munich,2,3,2.68517,2.27504
2023,2024-01-28,Union Berlin,Darmstadt,1,0,3.54733,1.00135
2023,2024-02-03,Bochum,Augsburg,1,1,1.16731,1.39431
2023,2024-02-04,Wolfsburg,Hoffenheim,2,2,1.60418,1.93269
2023,2024-02-10,Union Berlin,Wolfsburg,1,0,0.575454,1.08099
2023,2024-02-17,Hoffenheim,Union Berlin,0,1,1.24508,2.1649
2023,2024-02-18,Bochum,Bayern Munich,3,2,2.08495,2.86883
2023,2024-02-24,Werder Bremen,Darmstadt,1,1,1.5891,0.890186
2023,2024-02-25,Augsburg,Freiburg,2,1,2.40818,1.42649
2023,2024-03-01,Freiburg,Bayern Munich,2,2,1.53977,2.4424
2023,2024-03-02,Darmstadt,Augsburg,0,6,1.113,3.39611
2023,2024-03-03,Hoffenheim,Werder Bremen,2,1,2.06582,1.34942
2023,2024-03-10,Bochum,Freiburg,1,2,1.28237,1.43573
2023,2024-03-16,Darmstadt,Bayern Munich,2,5,1.2476,5.11913
2023,2024-03-16,Union Berlin,Werder Bremen,2,1,1.42836,0.833042
2023,2024-03-16,Wolfsburg,Augsburg,1,3,1.67932,0.971481
2023,2024-03-30,Werder Bremen,Wolfsburg,0,2,0.738782,2.44615
2023,2024-03-31,Bochum,Darmstadt,2,2,2.29251,0.879015
2023,2024-04-07,Hoffenheim,Augsburg,3,1,2.21977,0.806763
2023,2024-04-12,Augsburg,Union Berlin,2,0,1.7073,1.55042
2023,2024-04-14,Darmstadt,Freiburg,0,1,0.962275,1.34437
2023,2024-04-20,Wolfsburg,Bochum,1,0,1.34814,1.37904
2023,2024-04-20,Union Berlin,Bayern Munich,1,5,1.06863,1.92795
2023,2024-04-26,Bochum,Hoffenheim,3,2,3.91029,1.28293
2023,2024-04-27,Augsburg,Werder Bremen,0,3,0.54257,2.53138
2023,2024-04-27,Freiburg,Wolfsburg,1,2,1.86256,0.583145
2023,2024-05-04,Wolfsburg,Darmstadt,3,0,3.16035,0.372357
2023,2024-05-05,Union Berlin,Bochum,3,4,1.49561,1.84679
2023,2024-05-12,Darmstadt,Hoffenheim,0,6,0.467229,3.67135
2023,2024-05-12,Bayern Munich,Wolfsburg,2,0,0.37152,0.132383
2023,2024-05-18,Hoffenheim,Bayern Munich,4,2,2.44188,1.69159
2023,2024-05-18,Union Berlin,Freiburg,2,1,2.28943,0.963773
2023,2024-05-18,Werder Bremen,Bochum,4,1,3.80667,2.14301
2024,2024-08-24,Augsburg,Werder Bremen,2,2,1.31571,1.54312
2024,2024-08-24,Hoffenheim,Holstein Kiel,3,2,3.73706,1.97238
2024,2024-08-25,Wolfsburg,Bayern Munich,2,3,2.08125,2.17538
2024,2024-08-31,Holstein Kiel,Wolfsburg,0,2,0.89489,1.4619
2024,2024-09-01,Bayern Munich,Freiburg,2,0,1.62797,0.970892
2024,2024-09-14,Freiburg,Bochum,2,1,3.95617,1.10732
2024,2024-09-14,Holstein Kiel,Bayern Munich,1,6,0.299776,4.13442
