Season,Date,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,HomeTeamxG,AwayTeamxG
2022,2022-08-26,Monza,Udinese,1,2,0.988468,2.26189
2022,2022-08-27,Spezia,Sassuolo,2,2,1.17548,2.83921
2022,2022-08-27,Cremonese,Torino,1,2,0.815757,2.71403
2022,2022-08-27,Juventus,Roma,1,1,0.633345,0.963959
2022,2022-08-28,Salernitana,Sampdoria,4,0,1.76461,1.66897
2022,2022-08-28,Verona,Atalanta,0,1,0.369511,0.843159
2022,2022-08-28,Fiorentina,Napoli,0,0,0.381649,1.68549
2022,2022-08-28,Lecce,Empoli,1,1,0.813378,0.37813
2022,2022-08-30,Inter,Cremonese,3,1,2.79797,1.06761
2022,2022-08-30,Roma,Monza,3,0,2.67127,0.560728
2022,2022-08-31,Napoli,Lecce,1,1,2.00236,1.02186
2022,2022-08-31,Udinese,Fiorentina,1,0,0.879492,0.44345
2022,2022-08-31,Juventus,Spezia,2,0,1.76503,0.175145
2022,2022-08-31,Empoli,Verona,1,1,0.778503,0.589249
2022,2022-08-31,Sampdoria,Lazio,1,1,0.740992,1.61049
2022,2022-09-01,Atalanta,Torino,3,1,2.86971,0.398647
2022,2022-09-01,Bologna,Salernitana,1,1,1.96131,1.19651
2022,2022-09-03,Fiorentina,Juventus,1,1,1.83258,1.07522
2022,2022-09-03,Lazio,Napoli,1,2,0.299785,2.0197
2022,2022-09-04,Udinese,Roma,4,0,1.28199,0.862157
2022,2022-09-04,Cremonese,Sassuolo,0,0,0.417337,1.70824
2022,2022-09-04,Spezia,Bologna,2,2,1.06255,1.02319
2022,2022-09-04,Verona,Sampdoria,2,1,2.3433,0.798714
2022,2022-09-05,Salernitana,Empoli,2,2,1.80811,0.984719
2022,2022-09-05,Torino,Lecce,1,0,1.0247,0.451427
2022,2022-09-05,Monza,Atalanta,0,2,0.943464,1.94986
2022,2022-09-10,Napoli,Spezia,1,0,1.94628,0.664499
2022,2022-09-10,Inter,Torino,1,0,1.53614,0.594956
2022,2022-09-11,Atalanta,Cremonese,1,1,0.636633,0.620155
2022,2022-09-11,Bologna,Fiorentina,2,1,1.25233,1.17879
2022,2022-09-11,Lecce,Monza,1,1,1.46903,0.0823778
2022,2022-09-11,Sassuolo,Udinese,1,3,0.349641,2.21222
2022,2022-09-11,Lazio,Verona,2,0,1.84525,0.40445
2022,2022-09-11,Juventus,Salernitana,2,2,1.83929,2.07448
2022,2022-09-12,Empoli,Roma,1,2,1.15196,3.83699
2022,2022-09-16,Salernitana,Lecce,1,2,1.08144,1.30867
2022,2022-09-17,Torino,Sassuolo,0,1,0.672322,0.480221
2022,2022-09-17,Bologna,Empoli,0,1,1.7821,1.66438
2022,2022-09-17,Spezia,Sampdoria,2,1,1.02757,1.01245
2022,2022-09-18,Udinese,Inter,3,1,1.29565,0.991896
2022,2022-09-18,Cremonese,Lazio,0,4,0.992274,3.61789
